date,NY,SF
2012/02/29 00:00:00,40.7,49.8
2012/03/01 00:00:00,41.3,48.9
2012/03/02 00:00:00,36.8,48.1
2012/03/03 00:00:00,47.6,50.7
2012/03/04 00:00:00,44.2,55.0
2012/03/05 00:00:00,38.5,48.8
2012/03/06 00:00:00,32.9,48.4
2012/03/07 00:00:00,43.3,49.9
2012/03/08 00:00:00,51.2,49.2
2012/03/09 00:00:00,47.8,51.7
2012/03/10 00:00:00,37.2,49.3
2012/03/11 00:00:00,42.9,50.0
2012/03/12 00:00:00,48.8,48.6
2012/03/13 00:00:00,52.6,53.9
2012/03/14 00:00:00,60.5,55.2
2012/03/15 00:00:00,47.2,55.9
2012/03/16 00:00:00,44.7,54.6
2012/03/17 00:00:00,48.2,48.2
2012/03/18 00:00:00,48.2,47.1
2012/03/19 00:00:00,53.1,45.8
2012/03/20 00:00:00,57.8,49.7
2012/03/21 00:00:00,57.5,51.4
2012/03/22 00:00:00,57.3,51.4
2012/03/23 00:00:00,61.7,48.4
2012/03/24 00:00:00,55.8,49.0
2012/03/25 00:00:00,48.4,46.4
2012/03/26 00:00:00,49.8,49.7
2012/03/27 00:00:00,39.6,54.1
2012/03/28 00:00:00,49.7,54.6
2012/03/29 00:00:00,56.8,52.3
2012/03/30 00:00:00,46.5,54.5
2012/03/31 00:00:00,42.2,56.2
2012/04/01 00:00:00,45.3,51.1
2012/04/02 00:00:00,48.1,50.5
2012/04/03 00:00:00,51.2,52.2
2012/04/04 00:00:00,61.0,50.6
2012/04/05 00:00:00,50.7,47.9
2012/04/06 00:00:00,48.0,47.4
2012/04/07 00:00:00,51.1,49.4
2012/04/08 00:00:00,55.7,50.0
2012/04/09 00:00:00,58.3,51.3
2012/04/10 00:00:00,55.0,53.8
2012/04/11 00:00:00,49.0,52.9
2012/04/12 00:00:00,51.7,53.9
2012/04/13 00:00:00,53.1,50.2
2012/04/14 00:00:00,55.2,50.9
2012/04/15 00:00:00,62.3,51.5
2012/04/16 00:00:00,62.9,51.9
2012/04/17 00:00:00,69.3,53.2
2012/04/18 00:00:00,59.0,53.0
2012/04/19 00:00:00,54.1,55.1
2012/04/20 00:00:00,56.5,55.8
2012/04/21 00:00:00,58.2,58.0
2012/04/22 00:00:00,52.4,52.8
2012/04/23 00:00:00,51.6,55.1
2012/04/24 00:00:00,49.3,57.9
2012/04/25 00:00:00,52.5,57.5
2012/04/26 00:00:00,50.5,55.3
2012/04/27 00:00:00,51.9,53.5
2012/04/28 00:00:00,47.4,54.7
2012/04/29 00:00:00,54.1,54.0
2012/04/30 00:00:00,51.9,53.4
2012/05/01 00:00:00,57.4,52.7
2012/05/02 00:00:00,53.7,50.7
2012/05/03 00:00:00,53.1,52.6
2012/05/04 00:00:00,57.2,53.4
2012/05/05 00:00:00,57.0,53.1
2012/05/06 00:00:00,56.6,56.5
2012/05/07 00:00:00,54.6,55.3
2012/05/08 00:00:00,57.9,52.0
2012/05/09 00:00:00,59.2,52.4
2012/05/10 00:00:00,61.1,53.4
2012/05/11 00:00:00,59.7,53.1
2012/05/12 00:00:00,64.1,49.9
2012/05/13 00:00:00,65.3,52.0
2012/05/14 00:00:00,64.2,56.0
2012/05/15 00:00:00,62.0,53.0
2012/05/16 00:00:00,63.8,51.0
2012/05/17 00:00:00,64.5,51.4
2012/05/18 00:00:00,61.0,52.2
2012/05/19 00:00:00,62.6,52.4
2012/05/20 00:00:00,66.2,54.5
2012/05/21 00:00:00,62.7,52.8
2012/05/22 00:00:00,63.7,53.9
2012/05/23 00:00:00,66.4,56.5
2012/05/24 00:00:00,64.5,54.7
2012/05/25 00:00:00,65.4,52.5
2012/05/26 00:00:00,69.4,52.1
2012/05/27 00:00:00,71.9,52.2
2012/05/28 00:00:00,74.4,52.9
2012/05/29 00:00:00,75.9,52.1
2012/05/30 00:00:00,72.9,52.1
2012/05/31 00:00:00,72.5,53.3
2012/06/01 00:00:00,67.2,54.8
2012/06/02 00:00:00,68.3,54.0
2012/06/03 00:00:00,67.7,52.3
2012/06/04 00:00:00,61.9,55.3
2012/06/05 00:00:00,58.3,53.5
2012/06/06 00:00:00,61.7,54.1
2012/06/07 00:00:00,66.7,53.9
2012/06/08 00:00:00,68.7,54.4
2012/06/09 00:00:00,72.2,55.0
2012/06/10 00:00:00,72.6,60.0
2012/06/11 00:00:00,69.2,57.2
2012/06/12 00:00:00,66.9,55.1
2012/06/13 00:00:00,66.7,53.3
2012/06/14 00:00:00,67.7,53.4
2012/06/15 00:00:00,68.5,54.6
2012/06/16 00:00:00,67.5,57.0
2012/06/17 00:00:00,64.2,55.6
2012/06/18 00:00:00,61.7,52.5
2012/06/19 00:00:00,66.4,53.9
2012/06/20 00:00:00,77.9,55.3
2012/06/21 00:00:00,88.3,53.3
2012/06/22 00:00:00,82.2,54.1
2012/06/23 00:00:00,77.0,55.2
2012/06/24 00:00:00,75.4,55.8
2012/06/25 00:00:00,70.9,56.8
2012/06/26 00:00:00,65.9,57.5
2012/06/27 00:00:00,73.5,57.7
2012/06/28 00:00:00,77.4,56.6
2012/06/29 00:00:00,79.6,56.4
2012/06/30 00:00:00,84.2,58.4
2012/07/01 00:00:00,81.8,58.8
2012/07/02 00:00:00,82.5,56.4
2012/07/03 00:00:00,80.2,56.5
2012/07/04 00:00:00,77.8,55.8
2012/07/05 00:00:00,86.1,54.8
2012/07/06 00:00:00,79.9,54.9
2012/07/07 00:00:00,83.5,54.7
2012/07/08 00:00:00,81.5,52.8
2012/07/09 00:00:00,77.8,53.7
2012/07/10 00:00:00,76.1,53.1
2012/07/11 00:00:00,76.3,52.7
2012/07/12 00:00:00,75.8,52.0
2012/07/13 00:00:00,77.2,53.4
2012/07/14 00:00:00,79.3,54.0
2012/07/15 00:00:00,78.9,54.0
2012/07/16 00:00:00,79.6,54.5
2012/07/17 00:00:00,83.3,56.7
2012/07/18 00:00:00,84.3,57.5
2012/07/19 00:00:00,75.1,57.1
2012/07/20 00:00:00,68.4,58.1
2012/07/21 00:00:00,68.4,57.6
2012/07/22 00:00:00,72.2,56.0
2012/07/23 00:00:00,75.6,56.6
2012/07/24 00:00:00,82.6,57.8
2012/07/25 00:00:00,78.4,57.5
2012/07/26 00:00:00,77.0,56.4
2012/07/27 00:00:00,79.4,55.3
2012/07/28 00:00:00,77.4,55.0
2012/07/29 00:00:00,72.5,55.6
2012/07/30 00:00:00,72.9,55.6
2012/07/31 00:00:00,73.6,55.9
2012/08/01 00:00:00,75.0,55.4
2012/08/02 00:00:00,77.7,54.4
2012/08/03 00:00:00,79.7,53.7
2012/08/04 00:00:00,79.6,54.1
2012/08/05 00:00:00,81.5,57.8
2012/08/06 00:00:00,80.0,58.2
2012/08/07 00:00:00,75.7,58.0
2012/08/08 00:00:00,77.8,57.0
2012/08/09 00:00:00,78.6,55.0
2012/08/10 00:00:00,77.8,54.8
2012/08/11 00:00:00,78.5,53.0
2012/08/12 00:00:00,78.8,52.5
2012/08/13 00:00:00,78.6,53.3
2012/08/14 00:00:00,76.8,53.9
2012/08/15 00:00:00,76.7,56.2
2012/08/16 00:00:00,75.9,57.1
2012/08/17 00:00:00,77.6,55.3
2012/08/18 00:00:00,72.6,56.2
2012/08/19 00:00:00,70.4,54.3
2012/08/20 00:00:00,71.8,53.1
2012/08/21 00:00:00,73.6,53.4
2012/08/22 00:00:00,74.7,54.5
2012/08/23 00:00:00,74.6,55.7
2012/08/24 00:00:00,76.0,54.8
2012/08/25 00:00:00,76.2,53.8
2012/08/26 00:00:00,73.4,56.5
2012/08/27 00:00:00,74.6,58.3
2012/08/28 00:00:00,79.4,58.7
2012/08/29 00:00:00,74.7,57.5
2012/08/30 00:00:00,73.5,55.9
2012/08/31 00:00:00,77.9,55.4
2012/09/01 00:00:00,80.7,55.7
2012/09/02 00:00:00,75.1,53.1
2012/09/03 00:00:00,73.5,53.5
2012/09/04 00:00:00,73.5,52.5
2012/09/05 00:00:00,77.7,54.5
2012/09/06 00:00:00,74.2,56.3
2012/09/07 00:00:00,76.0,56.4
2012/09/08 00:00:00,77.1,56.5
2012/09/09 00:00:00,69.7,56.4
2012/09/10 00:00:00,67.8,55.4
2012/09/11 00:00:00,64.0,56.2
2012/09/12 00:00:00,68.1,55.7
2012/09/13 00:00:00,69.3,54.3
2012/09/14 00:00:00,70.0,55.2
2012/09/15 00:00:00,69.3,54.3
2012/09/16 00:00:00,66.3,52.9
2012/09/17 00:00:00,67.0,54.8
2012/09/18 00:00:00,72.8,54.8
2012/09/19 00:00:00,67.2,56.8
2012/09/20 00:00:00,62.1,55.4
2012/09/21 00:00:00,64.0,55.8
2012/09/22 00:00:00,65.5,55.9
2012/09/23 00:00:00,65.7,52.8
2012/09/24 00:00:00,60.4,54.5
2012/09/25 00:00:00,63.2,53.3
2012/09/26 00:00:00,68.5,53.6
2012/09/27 00:00:00,69.2,52.1
2012/09/28 00:00:00,68.7,52.6
2012/09/29 00:00:00,62.5,53.9
2012/09/30 00:00:00,62.3,55.1
